               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  60,            0.013713,            0.024924,           0.0016116,             0.95148,             0.66187,             0.75041,             0.50404,            0.010584,            0.021924,           0.0015363,            0.004159,            0.004159,            0.004159
                  61,            0.013049,            0.025603,           0.0014896,              0.7275,             0.75812,             0.80222,             0.54109,            0.010187,            0.022127,           0.0015132,             0.00406,             0.00406,             0.00406
                  62,            0.012696,            0.024673,           0.0015045,             0.74604,             0.77141,             0.80961,              0.5463,            0.010299,            0.021889,            0.001444,            0.003961,            0.003961,            0.003961
                  63,            0.012462,              0.0247,           0.0015316,             0.80992,             0.77061,             0.83215,             0.56354,           0.0097091,            0.022015,           0.0015529,            0.003862,            0.003862,            0.003862
                  64,            0.012914,            0.024775,            0.001881,             0.87184,              0.8324,             0.87236,             0.59271,           0.0097195,            0.021751,           0.0020645,            0.003763,            0.003763,            0.003763
                  65,            0.012114,            0.024129,           0.0013855,             0.87066,              0.8581,             0.88391,             0.61927,           0.0092493,            0.021668,           0.0016553,            0.003664,            0.003664,            0.003664
                  66,            0.011954,            0.024237,           0.0019492,             0.90598,             0.85656,             0.88553,             0.62172,           0.0094105,            0.021976,           0.0012722,            0.003565,            0.003565,            0.003565
                  67,            0.011784,            0.023469,            0.001336,             0.94968,             0.85869,             0.90538,              0.6247,            0.010746,            0.022309,           0.0012558,            0.003466,            0.003466,            0.003466
                  68,             0.01183,            0.023861,           0.0012648,              0.9329,             0.86396,             0.89323,             0.63993,           0.0090246,            0.021731,           0.0012614,            0.003367,            0.003367,            0.003367
                  69,            0.011679,            0.023656,           0.0015512,              0.9358,             0.87432,              0.8959,             0.63919,           0.0087717,            0.021443,            0.001134,            0.003268,            0.003268,            0.003268
